Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2015-16,Bournemouth,Aston Villa,0,1,A
2015-16,Chelsea,Swansea,2,2,D
2015-16,Everton,Watford,2,2,D
2015-16,Leicester,Sunderland,4,2,H
2015-16,Manchester United,Tottenham,1,0,H
2015-16,Norwich,Crystal Palace,1,3,A
2015-16,Arsenal,West Ham,0,2,A
2015-16,Newcastle United,Southampton,2,2,D
2015-16,Stoke,Liverpool,0,1,A
2015-16,West Bromwich Albion,Manchester City,0,3,A
2015-16,Aston Villa,Manchester United,0,1,A
2015-16,Southampton,Everton,0,3,A
2015-16,Sunderland,Norwich,1,3,A
2015-16,Swansea,Newcastle United,2,0,H
2015-16,Tottenham,Stoke,2,2,D
2015-16,Watford,West Bromwich Albion,0,0,D
2015-16,West Ham,Leicester,1,2,A
2015-16,Crystal Palace,Arsenal,1,2,A
2015-16,Manchester City,Chelsea,3,0,H
2015-16,Liverpool,Bournemouth,1,0,H
2015-16,Crystal Palace,Aston Villa,2,1,H
2015-16,Leicester,Tottenham,1,1,D
2015-16,Manchester United,Newcastle United,0,0,D
2015-16,Norwich,Stoke,1,1,D
2015-16,Sunderland,Swansea,1,1,D
2015-16,West Ham,Bournemouth,3,4,A
2015-16,Everton,Manchester City,0,2,A
2015-16,Watford,Southampton,0,0,D
2015-16,West Bromwich Albion,Chelsea,2,3,A
2015-16,Arsenal,Liverpool,0,0,D
2015-16,Aston Villa,Sunderland,2,2,D
2015-16,Bournemouth,Leicester,1,1,D
2015-16,Chelsea,Crystal Palace,1,2,A
2015-16,Liverpool,West Ham,0,3,A
2015-16,Manchester City,Watford,2,0,H
2015-16,Newcastle United,Arsenal,0,1,A
2015-16,Stoke,West Bromwich Albion,0,1,A
2015-16,Tottenham,Everton,0,0,D
2015-16,Southampton,Norwich,3,0,H
2015-16,Swansea,Manchester United,2,1,H
2015-16,Arsenal,Stoke,2,0,H
2015-16,Crystal Palace,Manchester City,0,1,A
2015-16,Everton,Chelsea,3,1,H
2015-16,Manchester United,Liverpool,3,1,H
2015-16,Norwich,Bournemouth,3,1,H
2015-16,Watford,Swansea,1,0,H
2015-16,West Bromwich Albion,Southampton,0,0,D
2015-16,Leicester,Aston Villa,3,2,H
2015-16,Sunderland,Tottenham,0,1,A
2015-16,West Ham,Newcastle United,2,0,H
2015-16,Aston Villa,West Bromwich Albion,0,1,A
2015-16,Bournemouth,Sunderland,2,0,H
2015-16,Chelsea,Arsenal,2,0,H
2015-16,Manchester City,West Ham,1,2,A
2015-16,Newcastle United,Watford,1,2,A
2015-16,Stoke,Leicester,2,2,D
2015-16,Swansea,Everton,0,0,D
2015-16,Liverpool,Norwich,1,1,D
2015-16,Southampton,Manchester United,2,3,A
2015-16,Tottenham,Crystal Palace,1,0,H
2015-16,Leicester,Arsenal,2,5,A
2015-16,Liverpool,Aston Villa,3,2,H
2015-16,Manchester United,Sunderland,3,0,H
2015-16,Newcastle United,Chelsea,2,2,D
2015-16,Southampton,Swansea,3,1,H
2015-16,Stoke,Bournemouth,2,1,H
2015-16,Tottenham,Manchester City,4,1,H
2015-16,West Ham,Norwich,2,2,D
2015-16,Watford,Crystal Palace,0,1,A
2015-16,West Bromwich Albion,Everton,2,3,A
2015-16,Aston Villa,Stoke,0,1,A
2015-16,Bournemouth,Watford,1,1,D
2015-16,Chelsea,Southampton,1,3,A
2015-16,Crystal Palace,West Bromwich Albion,2,0,H
2015-16,Manchester City,Newcastle United,6,1,H
2015-16,Norwich,Leicester,1,2,A
2015-16,Sunderland,West Ham,2,2,D
2015-16,Arsenal,Manchester United,3,0,H
2015-16,Everton,Liverpool,1,1,D
2015-16,Swansea,Tottenham,2,2,D
2015-16,Chelsea,Aston Villa,2,0,H
2015-16,Crystal Palace,West Ham,1,3,A
2015-16,Everton,Manchester United,0,3,A
2015-16,Manchester City,Bournemouth,5,1,H
2015-16,Southampton,Leicester,2,2,D
2015-16,Tottenham,Liverpool,0,0,D
2015-16,Watford,Arsenal,0,3,A
2015-16,West Bromwich Albion,Sunderland,1,0,H
2015-16,Newcastle United,Norwich,6,2,H
2015-16,Swansea,Stoke,0,1,A
2015-16,Arsenal,Everton,2,1,H
2015-16,Aston Villa,Swansea,1,2,A
2015-16,Leicester,Crystal Palace,1,0,H
2015-16,Norwich,West Bromwich Albion,0,1,A
2015-16,Stoke,Watford,0,2,A
2015-16,West Ham,Chelsea,2,1,H
2015-16,Bournemouth,Tottenham,1,5,A
2015-16,Liverpool,Southampton,1,1,D
2015-16,Manchester United,Manchester City,0,0,D
2015-16,Sunderland,Newcastle United,3,0,H
2015-16,Chelsea,Liverpool,1,3,A
2015-16,Crystal Palace,Manchester United,0,0,D
2015-16,Manchester City,Norwich,2,1,H
2015-16,Newcastle United,Stoke,0,0,D
2015-16,Swansea,Arsenal,0,3,A
2015-16,Watford,West Ham,2,0,H
2015-16,West Bromwich Albion,Leicester,2,3,A
2015-16,Everton,Sunderland,6,2,H
2015-16,Southampton,Bournemouth,2,0,H
2015-16,Tottenham,Aston Villa,3,1,H
2015-16,Bournemouth,Newcastle United,0,1,A
2015-16,Leicester,Watford,2,1,H
2015-16,Manchester United,West Bromwich Albion,2,0,H
2015-16,Norwich,Swansea,1,0,H
2015-16,Stoke,Chelsea,1,0,H
2015-16,Sunderland,Southampton,0,1,A
2015-16,West Ham,Everton,1,1,D
2015-16,Arsenal,Tottenham,1,1,D
2015-16,Aston Villa,Manchester City,0,0,D
2015-16,Liverpool,Crystal Palace,1,2,A
2015-16,Chelsea,Norwich,1,0,H
2015-16,Everton,Aston Villa,4,0,H
2015-16,Manchester City,Liverpool,1,4,A
2015-16,Newcastle United,Leicester,0,3,A
2015-16,Southampton,Stoke,0,1,A
2015-16,Swansea,Bournemouth,2,2,D
2015-16,Watford,Manchester United,1,2,A
2015-16,West Bromwich Albion,Arsenal,2,1,H
2015-16,Tottenham,West Ham,4,1,H
2015-16,Crystal Palace,Sunderland,0,1,A
2015-16,Aston Villa,Watford,2,3,A
2015-16,Bournemouth,Everton,3,3,D
2015-16,Crystal Palace,Newcastle United,5,1,H
2015-16,Leicester,Manchester United,1,1,D
2015-16,Manchester City,Southampton,3,1,H
2015-16,Sunderland,Stoke,2,0,H
2015-16,Liverpool,Swansea,1,0,H
2015-16,Norwich,Arsenal,1,1,D
2015-16,Tottenham,Chelsea,0,0,D
2015-16,West Ham,West Bromwich Albion,1,1,D
2015-16,Arsenal,Sunderland,3,1,H
2015-16,Chelsea,Bournemouth,0,1,A
2015-16,Manchester United,West Ham,0,0,D
2015-16,Southampton,Aston Villa,1,1,D
2015-16,Stoke,Manchester City,2,0,H
2015-16,Swansea,Leicester,0,3,A
2015-16,Watford,Norwich,2,0,H
2015-16,West Bromwich Albion,Tottenham,1,1,D
2015-16,Newcastle United,Liverpool,2,0,H
2015-16,Everton,Crystal Palace,1,1,D
2015-16,Bournemouth,Manchester United,2,1,H
2015-16,Crystal Palace,Southampton,1,0,H
2015-16,Manchester City,Swansea,2,1,H
2015-16,Norwich,Everton,1,1,D
2015-16,Sunderland,Watford,0,1,A
2015-16,West Ham,Stoke,0,0,D
2015-16,Aston Villa,Arsenal,0,2,A
2015-16,Liverpool,West Bromwich Albion,2,2,D
2015-16,Tottenham,Newcastle United,1,2,A
2015-16,Leicester,Chelsea,2,1,H
2015-16,Chelsea,Sunderland,3,1,H
2015-16,Everton,Leicester,2,3,A
2015-16,Manchester United,Norwich,1,2,A
2015-16,Newcastle United,Aston Villa,1,1,D
2015-16,Southampton,Tottenham,0,2,A
2015-16,Stoke,Crystal Palace,1,2,A
2015-16,West Bromwich Albion,Bournemouth,1,2,A
2015-16,Swansea,West Ham,0,0,D
2015-16,Watford,Liverpool,3,0,H
2015-16,Arsenal,Manchester City,2,1,H
2015-16,Aston Villa,West Ham,1,1,D
2015-16,Bournemouth,Crystal Palace,0,0,D
2015-16,Chelsea,Watford,2,2,D
2015-16,Liverpool,Leicester,1,0,H
2015-16,Manchester City,Sunderland,4,1,H
2015-16,Newcastle United,Everton,0,1,A
2015-16,Southampton,Arsenal,4,0,H
2015-16,Stoke,Manchester United,2,0,H
2015-16,Swansea,West Bromwich Albion,1,0,H
2015-16,Tottenham,Norwich,3,0,H
2015-16,Arsenal,Bournemouth,2,0,H
2015-16,Crystal Palace,Swansea,0,0,D
2015-16,Everton,Stoke,3,4,A
2015-16,Manchester United,Chelsea,0,0,D
2015-16,Norwich,Aston Villa,2,0,H
2015-16,Watford,Tottenham,1,2,A
2015-16,West Bromwich Albion,Newcastle United,1,0,H
2015-16,West Ham,Southampton,2,1,H
2015-16,Leicester,Manchester City,0,0,D
2015-16,Sunderland,Liverpool,0,1,A
2015-16,Arsenal,Newcastle United,1,0,H
2015-16,Leicester,Bournemouth,0,0,D
2015-16,Manchester United,Swansea,2,1,H
2015-16,Norwich,Southampton,1,0,H
2015-16,Sunderland,Aston Villa,3,1,H
2015-16,Watford,Manchester City,1,2,A
2015-16,West Bromwich Albion,Stoke,2,1,H
2015-16,West Ham,Liverpool,2,0,H
2015-16,Crystal Palace,Chelsea,0,3,A
2015-16,Everton,Tottenham,1,1,D
2015-16,Aston Villa,Crystal Palace,1,0,H
2015-16,Bournemouth,West Ham,1,3,A
2015-16,Newcastle United,Manchester United,3,3,D
2015-16,Chelsea,West Bromwich Albion,2,2,D
2015-16,Liverpool,Arsenal,3,3,D
2015-16,Manchester City,Everton,0,0,D
2015-16,Southampton,Watford,2,0,H
2015-16,Stoke,Norwich,3,1,H
2015-16,Swansea,Sunderland,2,4,A
2015-16,Tottenham,Leicester,0,1,A
2015-16,Aston Villa,Leicester,1,1,D
2015-16,Bournemouth,Norwich,3,0,H
2015-16,Chelsea,Everton,3,3,D
2015-16,Manchester City,Crystal Palace,4,0,H
2015-16,Newcastle United,West Ham,2,1,H
2015-16,Southampton,West Bromwich Albion,3,0,H
2015-16,Tottenham,Sunderland,4,1,H
2015-16,Liverpool,Manchester United,0,1,A
2015-16,Stoke,Arsenal,0,0,D
2015-16,Swansea,Watford,1,0,H
2015-16,Crystal Palace,Tottenham,1,3,A
2015-16,Leicester,Stoke,3,0,H
2015-16,Manchester United,Southampton,0,1,A
2015-16,Norwich,Liverpool,4,5,A
2015-16,Sunderland,Bournemouth,1,1,D
2015-16,Watford,Newcastle United,2,1,H
2015-16,West Bromwich Albion,Aston Villa,0,0,D
2015-16,West Ham,Manchester City,2,2,D
2015-16,Arsenal,Chelsea,0,1,A
2015-16,Everton,Swansea,1,2,A
2015-16,Arsenal,Southampton,0,0,D
2015-16,Crystal Palace,Bournemouth,1,2,A
2015-16,Leicester,Liverpool,2,0,H
2015-16,Manchester United,Stoke,3,0,H
2015-16,Norwich,Tottenham,0,3,A
2015-16,Sunderland,Manchester City,0,1,A
2015-16,West Bromwich Albion,Swansea,1,1,D
2015-16,West Ham,Aston Villa,2,0,H
2015-16,Everton,Newcastle United,3,0,H
2015-16,Watford,Chelsea,0,0,D
2015-16,Aston Villa,Norwich,2,0,H
2015-16,Liverpool,Sunderland,2,2,D
2015-16,Manchester City,Leicester,1,3,A
2015-16,Newcastle United,West Bromwich Albion,1,0,H
2015-16,Southampton,West Ham,1,0,H
2015-16,Stoke,Everton,0,3,A
2015-16,Swansea,Crystal Palace,1,1,D
2015-16,Tottenham,Watford,1,0,H
2015-16,Bournemouth,Arsenal,0,2,A
2015-16,Chelsea,Manchester United,1,1,D
2015-16,Bournemouth,Stoke,1,3,A
2015-16,Chelsea,Newcastle United,5,1,H
2015-16,Crystal Palace,Watford,1,2,A
2015-16,Everton,West Bromwich Albion,0,1,A
2015-16,Norwich,West Ham,2,2,D
2015-16,Sunderland,Manchester United,2,1,H
2015-16,Swansea,Southampton,0,1,A
2015-16,Arsenal,Leicester,2,1,H
2015-16,Aston Villa,Liverpool,0,6,A
2015-16,Manchester City,Tottenham,1,2,A
2015-16,Leicester,Norwich,1,0,H
2015-16,Southampton,Chelsea,1,2,A
2015-16,Stoke,Aston Villa,2,1,H
2015-16,Watford,Bournemouth,0,0,D
2015-16,West Bromwich Albion,Crystal Palace,3,2,H
2015-16,West Ham,Sunderland,1,0,H
2015-16,Tottenham,Swansea,2,1,H
2015-16,Manchester United,Arsenal,3,2,H
2015-16,Aston Villa,Everton,1,3,A
2015-16,Bournemouth,Southampton,2,0,H
2015-16,Leicester,West Bromwich Albion,2,2,D
2015-16,Norwich,Chelsea,1,2,A
2015-16,Sunderland,Crystal Palace,2,2,D
2015-16,Arsenal,Swansea,1,2,A
2015-16,Liverpool,Manchester City,3,0,H
2015-16,Manchester United,Watford,1,0,H
2015-16,Stoke,Newcastle United,1,0,H
2015-16,West Ham,Tottenham,1,0,H
2015-16,Chelsea,Stoke,1,1,D
2015-16,Everton,West Ham,2,3,A
2015-16,Manchester City,Aston Villa,4,0,H
2015-16,Newcastle United,Bournemouth,1,3,A
2015-16,Southampton,Sunderland,1,1,D
2015-16,Swansea,Norwich,1,0,H
2015-16,Tottenham,Arsenal,2,2,D
2015-16,Watford,Leicester,0,1,A
2015-16,Crystal Palace,Liverpool,1,2,A
2015-16,West Bromwich Albion,Manchester United,1,0,H
2015-16,Bournemouth,Swansea,3,2,H
2015-16,Norwich,Manchester City,0,0,D
2015-16,Stoke,Southampton,1,2,A
2015-16,Aston Villa,Tottenham,0,2,A
2015-16,Leicester,Newcastle United,1,0,H
2015-16,Chelsea,West Ham,2,2,D
2015-16,Crystal Palace,Leicester,0,1,A
2015-16,Everton,Arsenal,0,2,A
2015-16,Swansea,Aston Villa,1,0,H
2015-16,Watford,Stoke,1,2,A
2015-16,West Bromwich Albion,Norwich,0,1,A
2015-16,Manchester City,Manchester United,0,1,A
2015-16,Newcastle United,Sunderland,1,1,D
2015-16,Southampton,Liverpool,3,2,H
2015-16,Tottenham,Bournemouth,3,0,H
2015-16,Arsenal,Watford,4,0,H
2015-16,Aston Villa,Chelsea,0,4,A
2015-16,Bournemouth,Manchester City,0,4,A
2015-16,Liverpool,Tottenham,1,1,D
2015-16,Norwich,Newcastle United,3,2,H
2015-16,Stoke,Swansea,2,2,D
2015-16,Sunderland,West Bromwich Albion,0,0,D
2015-16,West Ham,Crystal Palace,2,2,D
2015-16,Leicester,Southampton,1,0,H
2015-16,Manchester United,Everton,1,0,H
2015-16,Aston Villa,Bournemouth,1,2,A
2015-16,Crystal Palace,Norwich,1,0,H
2015-16,Manchester City,West Bromwich Albion,2,1,H
2015-16,Southampton,Newcastle United,3,1,H
2015-16,Swansea,Chelsea,1,0,H
2015-16,Watford,Everton,1,1,D
2015-16,West Ham,Arsenal,3,3,D
2015-16,Liverpool,Stoke,4,1,H
2015-16,Sunderland,Leicester,0,2,A
2015-16,Tottenham,Manchester United,3,0,H
2015-16,Crystal Palace,Everton,0,0,D
2015-16,Chelsea,Manchester City,0,3,A
2015-16,Everton,Southampton,1,1,D
2015-16,Manchester United,Aston Villa,1,0,H
2015-16,Newcastle United,Swansea,3,0,H
2015-16,Norwich,Sunderland,0,3,A
2015-16,West Bromwich Albion,Watford,0,1,A
2015-16,Arsenal,Crystal Palace,1,1,D
2015-16,Bournemouth,Liverpool,1,2,A
2015-16,Leicester,West Ham,2,2,D
2015-16,Stoke,Tottenham,0,4,A
2015-16,Newcastle United,Manchester City,1,1,D
2015-16,Liverpool,Everton,4,0,H
2015-16,Manchester United,Crystal Palace,2,0,H
2015-16,West Ham,Watford,3,1,H
2015-16,Arsenal,West Bromwich Albion,2,0,H
2015-16,Aston Villa,Southampton,2,4,A
2015-16,Bournemouth,Chelsea,1,4,A
2015-16,Liverpool,Newcastle United,2,2,D
2015-16,Manchester City,Stoke,4,0,H
2015-16,Leicester,Swansea,4,0,H
2015-16,Sunderland,Arsenal,0,0,D
2015-16,Tottenham,West Bromwich Albion,1,1,D
2015-16,Arsenal,Norwich,1,0,H
2015-16,Everton,Bournemouth,2,1,H
2015-16,Newcastle United,Crystal Palace,1,0,H
2015-16,Stoke,Sunderland,1,1,D
2015-16,Watford,Aston Villa,3,2,H
2015-16,West Bromwich Albion,West Ham,0,3,A
2015-16,Manchester United,Leicester,1,1,D
2015-16,Southampton,Manchester City,4,2,H
2015-16,Swansea,Liverpool,3,1,H
2015-16,Chelsea,Tottenham,2,2,D
2015-16,Aston Villa,Newcastle United,0,0,D
2015-16,Bournemouth,West Bromwich Albion,1,1,D
2015-16,Crystal Palace,Stoke,2,1,H
2015-16,Leicester,Everton,3,1,H
2015-16,Norwich,Manchester United,0,1,A
2015-16,Sunderland,Chelsea,3,2,H
2015-16,West Ham,Swansea,1,4,A
2015-16,Liverpool,Watford,2,0,H
2015-16,Manchester City,Arsenal,2,2,D
2015-16,Tottenham,Southampton,1,2,A
2015-16,West Ham,Manchester United,3,2,H
2015-16,Liverpool,Chelsea,1,1,D
2015-16,Norwich,Watford,4,2,H
2015-16,Sunderland,Everton,3,0,H
2015-16,Arsenal,Aston Villa,4,0,H
2015-16,Chelsea,Leicester,1,1,D
2015-16,Everton,Norwich,3,0,H
2015-16,Newcastle United,Tottenham,5,1,H
2015-16,Southampton,Crystal Palace,4,1,H
2015-16,Stoke,West Ham,2,1,H
2015-16,Swansea,Manchester City,1,1,D
2015-16,Watford,Sunderland,2,2,D
2015-16,West Bromwich Albion,Liverpool,1,1,D
2015-16,Manchester United,Bournemouth,3,1,H
2016-17,Burnley,Swansea,0,1,A
2016-17,Crystal Palace,West Bromwich Albion,0,1,A
2016-17,Everton,Tottenham,1,1,D
2016-17,Hull,Leicester,2,1,H
2016-17,Manchester City,Sunderland,2,1,H
2016-17,Middlesbrough,Stoke,1,1,D
2016-17,Southampton,Watford,1,1,D
2016-17,Arsenal,Liverpool,3,4,A
2016-17,Bournemouth,Manchester United,1,3,A
2016-17,Chelsea,West Ham,2,1,H
2016-17,Manchester United,Southampton,2,0,H
2016-17,Burnley,Liverpool,2,0,H
2016-17,Leicester,Arsenal,0,0,D
2016-17,Stoke,Manchester City,1,4,A
2016-17,Swansea,Hull,0,2,A
2016-17,Tottenham,Crystal Palace,1,0,H
2016-17,Watford,Chelsea,1,2,A
2016-17,West Bromwich Albion,Everton,1,2,A
2016-17,Sunderland,Middlesbrough,1,2,A
2016-17,West Ham,Bournemouth,1,0,H
2016-17,Chelsea,Burnley,3,0,H
2016-17,Crystal Palace,Bournemouth,1,1,D
2016-17,Everton,Stoke,1,0,H
2016-17,Hull,Manchester United,0,1,A
2016-17,Leicester,Swansea,2,1,H
2016-17,Southampton,Sunderland,1,1,D
2016-17,Tottenham,Liverpool,1,1,D
2016-17,Watford,Arsenal,1,3,A
2016-17,Manchester City,West Ham,3,1,H
2016-17,West Bromwich Albion,Middlesbrough,0,0,D
2016-17,Arsenal,Southampton,2,1,H
2016-17,Bournemouth,West Bromwich Albion,1,0,H
2016-17,Burnley,Hull,1,1,D
2016-17,Liverpool,Leicester,4,1,H
2016-17,Manchester United,Manchester City,1,2,A
2016-17,Middlesbrough,Crystal Palace,1,2,A
2016-17,Stoke,Tottenham,0,4,A
2016-17,West Ham,Watford,2,4,A
2016-17,Swansea,Chelsea,2,2,D
2016-17,Sunderland,Everton,0,3,A
2016-17,Chelsea,Liverpool,1,2,A
2016-17,Everton,Middlesbrough,3,1,H
2016-17,Hull,Arsenal,1,4,A
2016-17,Leicester,Burnley,3,0,H
2016-17,Manchester City,Bournemouth,4,0,H
2016-17,West Bromwich Albion,West Ham,4,2,H
2016-17,Crystal Palace,Stoke,4,1,H
2016-17,Southampton,Swansea,1,0,H
2016-17,Tottenham,Sunderland,1,0,H
2016-17,Watford,Manchester United,3,1,H
2016-17,Arsenal,Chelsea,3,0,H
2016-17,Bournemouth,Everton,1,0,H
2016-17,Liverpool,Hull,5,1,H
2016-17,Manchester United,Leicester,4,1,H
2016-17,Middlesbrough,Tottenham,1,2,A
2016-17,Stoke,West Bromwich Albion,1,1,D
2016-17,Sunderland,Crystal Palace,2,3,A
2016-17,Swansea,Manchester City,1,3,A
2016-17,West Ham,Southampton,0,3,A
2016-17,Burnley,Watford,2,0,H
2016-17,Everton,Crystal Palace,1,1,D
2016-17,Hull,Chelsea,0,2,A
2016-17,Sunderland,West Bromwich Albion,1,1,D
2016-17,Swansea,Liverpool,1,2,A
2016-17,Watford,Bournemouth,2,2,D
2016-17,West Ham,Middlesbrough,1,1,D
2016-17,Burnley,Arsenal,0,1,A
2016-17,Leicester,Southampton,0,0,D
2016-17,Manchester United,Stoke,1,1,D
2016-17,Tottenham,Manchester City,2,0,H
2016-17,Arsenal,Swansea,3,2,H
2016-17,Bournemouth,Hull,6,1,H
2016-17,Chelsea,Leicester,3,0,H
2016-17,Crystal Palace,West Ham,0,1,A
2016-17,Manchester City,Everton,1,1,D
2016-17,Stoke,Sunderland,2,0,H
2016-17,West Bromwich Albion,Tottenham,1,1,D
2016-17,Middlesbrough,Watford,0,1,A
2016-17,Southampton,Burnley,3,1,H
2016-17,Liverpool,Manchester United,0,0,D
2016-17,Arsenal,Middlesbrough,0,0,D
2016-17,Bournemouth,Tottenham,0,0,D
2016-17,Burnley,Everton,2,1,H
2016-17,Hull,Stoke,0,2,A
2016-17,Leicester,Crystal Palace,3,1,H
2016-17,Liverpool,West Bromwich Albion,2,1,H
2016-17,Swansea,Watford,0,0,D
2016-17,West Ham,Sunderland,1,0,H
2016-17,Chelsea,Manchester United,4,0,H
2016-17,Manchester City,Southampton,1,1,D
2016-17,Crystal Palace,Liverpool,2,4,A
2016-17,Manchester United,Burnley,0,0,D
2016-17,Middlesbrough,Bournemouth,2,0,H
2016-17,Sunderland,Arsenal,1,4,A
2016-17,Tottenham,Leicester,1,1,D
2016-17,Watford,Hull,1,0,H
2016-17,West Bromwich Albion,Manchester City,0,4,A
2016-17,Everton,West Ham,2,0,H
2016-17,Southampton,Chelsea,0,2,A
2016-17,Stoke,Swansea,3,1,H
2016-17,Bournemouth,Sunderland,1,2,A
2016-17,Burnley,Crystal Palace,3,2,H
2016-17,Chelsea,Everton,5,0,H
2016-17,Manchester City,Middlesbrough,1,1,D
2016-17,West Ham,Stoke,1,1,D
2016-17,Arsenal,Tottenham,1,1,D
2016-17,Hull,Southampton,2,1,H
2016-17,Leicester,West Bromwich Albion,1,2,A
2016-17,Liverpool,Watford,6,1,H
2016-17,Swansea,Manchester United,1,3,A
2016-17,Crystal Palace,Manchester City,1,2,A
2016-17,Everton,Swansea,1,1,D
2016-17,Manchester United,Arsenal,1,1,D
2016-17,Southampton,Liverpool,0,0,D
2016-17,Stoke,Bournemouth,0,1,A
2016-17,Sunderland,Hull,3,0,H
2016-17,Tottenham,West Ham,3,2,H
2016-17,Watford,Leicester,2,1,H
2016-17,Middlesbrough,Chelsea,0,1,A
2016-17,West Bromwich Albion,Burnley,4,0,H
2016-17,Burnley,Manchester City,1,2,A
2016-17,Chelsea,Tottenham,2,1,H
2016-17,Hull,West Bromwich Albion,1,1,D
2016-17,Leicester,Middlesbrough,2,2,D
2016-17,Liverpool,Sunderland,2,0,H
2016-17,Swansea,Crystal Palace,5,4,H
