Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2016-17,Arsenal,Bournemouth,3,1,H
2016-17,Manchester United,West Ham,1,1,D
2016-17,Southampton,Everton,1,0,H
2016-17,Watford,Stoke,0,1,A
2016-17,Crystal Palace,Southampton,3,0,H
2016-17,Manchester City,Chelsea,1,3,A
2016-17,Stoke,Burnley,2,0,H
2016-17,Sunderland,Leicester,2,1,H
2016-17,Tottenham,Swansea,5,0,H
2016-17,West Bromwich Albion,Watford,3,1,H
2016-17,West Ham,Arsenal,1,5,A
2016-17,Bournemouth,Liverpool,4,3,H
2016-17,Everton,Manchester United,1,1,D
2016-17,Middlesbrough,Hull,1,0,H
2016-17,Arsenal,Stoke,3,1,H
2016-17,Burnley,Bournemouth,3,2,H
2016-17,Hull,Crystal Palace,3,3,D
2016-17,Leicester,Manchester City,4,2,H
2016-17,Swansea,Sunderland,3,0,H
2016-17,Watford,Everton,3,2,H
2016-17,Chelsea,West Bromwich Albion,1,0,H
2016-17,Liverpool,West Ham,2,2,D
2016-17,Manchester United,Tottenham,1,0,H
2016-17,Southampton,Middlesbrough,1,0,H
2016-17,Bournemouth,Leicester,1,0,H
2016-17,Everton,Arsenal,2,1,H
2016-17,Crystal Palace,Manchester United,1,2,A
2016-17,Manchester City,Watford,2,0,H
2016-17,Middlesbrough,Liverpool,0,3,A
2016-17,Stoke,Southampton,0,0,D
2016-17,Sunderland,Chelsea,0,1,A
2016-17,Tottenham,Hull,3,0,H
2016-17,West Bromwich Albion,Swansea,3,1,H
2016-17,West Ham,Burnley,1,0,H
2016-17,Crystal Palace,Chelsea,0,1,A
2016-17,Middlesbrough,Swansea,3,0,H
2016-17,Stoke,Leicester,2,2,D
2016-17,Sunderland,Watford,1,0,H
2016-17,West Bromwich Albion,Manchester United,0,2,A
2016-17,West Ham,Hull,1,0,H
2016-17,Bournemouth,Southampton,1,3,A
2016-17,Manchester City,Arsenal,2,1,H
2016-17,Tottenham,Burnley,2,1,H
2016-17,Everton,Liverpool,0,1,A
2016-17,Arsenal,West Bromwich Albion,1,0,H
2016-17,Burnley,Middlesbrough,1,0,H
2016-17,Chelsea,Bournemouth,3,0,H
2016-17,Hull,Manchester City,0,3,A
2016-17,Leicester,Everton,0,2,A
2016-17,Manchester United,Sunderland,3,1,H
2016-17,Swansea,West Ham,1,4,A
2016-17,Watford,Crystal Palace,1,1,D
2016-17,Liverpool,Stoke,4,1,H
2016-17,Southampton,Tottenham,1,4,A
2016-17,Hull,Everton,2,2,D
2016-17,Burnley,Sunderland,4,1,H
2016-17,Chelsea,Stoke,4,2,H
2016-17,Leicester,West Ham,1,0,H
2016-17,Liverpool,Manchester City,1,0,H
2016-17,Manchester United,Middlesbrough,2,1,H
2016-17,Southampton,West Bromwich Albion,1,2,A
2016-17,Swansea,Bournemouth,0,3,A
2016-17,Arsenal,Crystal Palace,2,0,H
2016-17,Watford,Tottenham,1,4,A
2016-17,Everton,Southampton,3,0,H
2016-17,Manchester City,Burnley,2,1,H
2016-17,Middlesbrough,Leicester,0,0,D
2016-17,Sunderland,Liverpool,2,2,D
2016-17,West Bromwich Albion,Hull,3,1,H
2016-17,West Ham,Manchester United,0,2,A
2016-17,Bournemouth,Arsenal,3,3,D
2016-17,Crystal Palace,Swansea,1,2,A
2016-17,Stoke,Watford,2,0,H
2016-17,Tottenham,Chelsea,2,0,H
2016-17,Burnley,Southampton,1,0,H
2016-17,Hull,Bournemouth,3,1,H
2016-17,Leicester,Chelsea,0,3,A
2016-17,Sunderland,Stoke,1,3,A
2016-17,Swansea,Arsenal,0,4,A
2016-17,Tottenham,West Bromwich Albion,4,0,H
2016-17,Watford,Middlesbrough,0,0,D
2016-17,West Ham,Crystal Palace,3,0,H
2016-17,Everton,Manchester City,4,0,H
2016-17,Manchester United,Liverpool,1,1,D
2016-17,Bournemouth,Watford,2,2,D
2016-17,Crystal Palace,Everton,0,1,A
2016-17,Liverpool,Swansea,2,3,A
2016-17,Manchester City,Tottenham,2,2,D
2016-17,Middlesbrough,West Ham,1,3,A
2016-17,Stoke,Manchester United,1,1,D
2016-17,West Bromwich Albion,Sunderland,2,0,H
2016-17,Arsenal,Burnley,2,1,H
2016-17,Chelsea,Hull,2,0,H
2016-17,Southampton,Leicester,3,0,H
2016-17,Arsenal,Watford,1,2,A
2016-17,Bournemouth,Crystal Palace,0,2,A
2016-17,Burnley,Leicester,1,0,H
2016-17,Liverpool,Chelsea,1,1,D
2016-17,Middlesbrough,West Bromwich Albion,1,1,D
2016-17,Sunderland,Tottenham,0,0,D
2016-17,Swansea,Southampton,2,1,H
2016-17,Manchester United,Hull,0,0,D
2016-17,Stoke,Everton,1,1,D
2016-17,West Ham,Manchester City,0,4,A
2016-17,Chelsea,Arsenal,3,1,H
2016-17,Crystal Palace,Sunderland,0,4,A
2016-17,Everton,Bournemouth,6,3,H
2016-17,Hull,Liverpool,2,0,H
2016-17,Southampton,West Ham,1,3,A
2016-17,Tottenham,Middlesbrough,1,0,H
2016-17,Watford,Burnley,2,1,H
2016-17,West Bromwich Albion,Stoke,1,0,H
2016-17,Leicester,Manchester United,0,3,A
2016-17,Manchester City,Swansea,2,1,H
2016-17,Arsenal,Hull,2,0,H
2016-17,Liverpool,Tottenham,2,0,H
2016-17,Manchester United,Watford,2,0,H
2016-17,Middlesbrough,Everton,0,0,D
2016-17,Stoke,Crystal Palace,1,0,H
2016-17,Sunderland,Southampton,0,4,A
2016-17,West Ham,West Bromwich Albion,2,2,D
2016-17,Burnley,Chelsea,1,1,D
2016-17,Swansea,Leicester,2,0,H
2016-17,Bournemouth,Manchester City,0,2,A
2016-17,Chelsea,Swansea,3,1,H
2016-17,Crystal Palace,Middlesbrough,1,0,H
2016-17,Everton,Sunderland,2,0,H
2016-17,Hull,Burnley,1,1,D
2016-17,Watford,West Ham,1,1,D
2016-17,West Bromwich Albion,Bournemouth,2,1,H
2016-17,Tottenham,Stoke,4,0,H
2016-17,Leicester,Liverpool,3,1,H
2016-17,Leicester,Hull,3,1,H
2016-17,Liverpool,Arsenal,3,1,H
2016-17,Manchester United,Bournemouth,1,1,D
2016-17,Stoke,Middlesbrough,2,0,H
2016-17,Swansea,Burnley,3,2,H
2016-17,Watford,Southampton,3,4,A
2016-17,West Bromwich Albion,Crystal Palace,0,2,A
2016-17,Sunderland,Manchester City,0,2,A
2016-17,Tottenham,Everton,3,2,H
2016-17,West Ham,Chelsea,1,2,A
2016-17,Manchester City,Stoke,0,0,D
2016-17,Bournemouth,West Ham,3,2,H
2016-17,Everton,West Bromwich Albion,3,0,H
2016-17,Hull,Swansea,2,1,H
2016-17,Liverpool,Burnley,2,1,H
2016-17,Bournemouth,Swansea,2,0,H
2016-17,Crystal Palace,Watford,1,0,H
2016-17,Everton,Hull,4,0,H
2016-17,Stoke,Chelsea,1,2,A
2016-17,Sunderland,Burnley,0,0,D
2016-17,West Bromwich Albion,Arsenal,3,1,H
2016-17,West Ham,Leicester,2,3,A
2016-17,Manchester City,Liverpool,1,1,D
2016-17,Middlesbrough,Manchester United,1,3,A
2016-17,Tottenham,Southampton,2,1,H
2016-17,Burnley,Tottenham,0,2,A
2016-17,Chelsea,Crystal Palace,1,2,A
2016-17,Hull,West Ham,2,1,H
2016-17,Leicester,Stoke,2,0,H
2016-17,Liverpool,Everton,3,1,H
2016-17,Manchester United,West Bromwich Albion,0,0,D
2016-17,Southampton,Bournemouth,0,0,D
2016-17,Watford,Sunderland,1,0,H
2016-17,Arsenal,Manchester City,2,2,D
2016-17,Swansea,Middlesbrough,0,0,D
2016-17,Burnley,Stoke,1,0,H
2016-17,Leicester,Sunderland,2,0,H
2016-17,Manchester United,Everton,1,1,D
2016-17,Watford,West Bromwich Albion,2,0,H
2016-17,Arsenal,West Ham,3,0,H
2016-17,Chelsea,Manchester City,2,1,H
2016-17,Hull,Middlesbrough,4,2,H
2016-17,Liverpool,Bournemouth,2,2,D
2016-17,Southampton,Crystal Palace,3,1,H
2016-17,Swansea,Tottenham,1,3,A
2016-17,Bournemouth,Chelsea,1,3,A
2016-17,Manchester City,Hull,3,1,H
2016-17,Middlesbrough,Burnley,0,0,D
2016-17,Stoke,Liverpool,1,2,A
2016-17,Tottenham,Watford,4,0,H
2016-17,West Bromwich Albion,Southampton,0,1,A
2016-17,West Ham,Swansea,1,0,H
2016-17,Everton,Leicester,4,2,H
2016-17,Sunderland,Manchester United,0,3,A
2016-17,Crystal Palace,Arsenal,3,0,H
2016-17,Crystal Palace,Leicester,2,2,D
2016-17,Everton,Burnley,3,1,H
2016-17,Southampton,Manchester City,0,3,A
2016-17,Stoke,Hull,3,1,H
2016-17,Sunderland,West Ham,2,2,D
2016-17,Tottenham,Bournemouth,4,0,H
2016-17,Watford,Swansea,1,0,H
2016-17,Manchester United,Chelsea,2,0,H
2016-17,West Bromwich Albion,Liverpool,0,1,A
2016-17,Middlesbrough,Arsenal,1,2,A
2016-17,Bournemouth,Middlesbrough,4,0,H
2016-17,Hull,Watford,2,0,H
2016-17,Swansea,Stoke,2,0,H
2016-17,West Ham,Everton,0,0,D
2016-17,Burnley,Manchester United,0,2,A
2016-17,Liverpool,Crystal Palace,1,2,A
2016-17,Chelsea,Southampton,4,2,H
2016-17,Arsenal,Leicester,1,0,H
2016-17,Crystal Palace,Tottenham,0,1,A
2016-17,Middlesbrough,Sunderland,1,0,H
2016-17,Manchester City,Manchester United,0,0,D
2016-17,Crystal Palace,Burnley,0,2,A
2016-17,Southampton,Hull,0,0,D
2016-17,Stoke,West Ham,0,0,D
2016-17,Sunderland,Bournemouth,0,1,A
2016-17,West Bromwich Albion,Leicester,0,1,A
2016-17,Everton,Chelsea,0,3,A
2016-17,Manchester United,Swansea,1,1,D
2016-17,Middlesbrough,Manchester City,2,2,D
2016-17,Tottenham,Arsenal,2,0,H
2016-17,Watford,Liverpool,0,1,A
2016-17,West Ham,Tottenham,1,0,H
2016-17,Bournemouth,Stoke,2,2,D
2016-17,Burnley,West Bromwich Albion,2,2,D
2016-17,Hull,Sunderland,0,2,A
2016-17,Leicester,Watford,3,0,H
2016-17,Manchester City,Crystal Palace,5,0,H
2016-17,Swansea,Everton,1,0,H
2016-17,Arsenal,Manchester United,2,0,H
2016-17,Liverpool,Southampton,0,0,D
2016-17,Chelsea,Middlesbrough,3,0,H
2016-17,Southampton,Arsenal,0,2,A
2016-17,Everton,Watford,1,0,H
2016-17,West Bromwich Albion,Chelsea,0,1,A
2016-17,Bournemouth,Burnley,2,1,H
2016-17,Manchester City,Leicester,2,1,H
2016-17,Middlesbrough,Southampton,1,2,A
2016-17,Stoke,Arsenal,1,4,A
2016-17,Sunderland,Swansea,0,2,A
2016-17,Crystal Palace,Hull,4,0,H
2016-17,Tottenham,Manchester United,2,1,H
2016-17,West Ham,Liverpool,0,4,A
2016-17,Chelsea,Watford,4,3,H
2016-17,Arsenal,Sunderland,2,0,H
2016-17,Manchester City,West Bromwich Albion,3,1,H
2016-17,Southampton,Manchester United,0,0,D
2016-17,Leicester,Tottenham,1,6,A
2016-17,Arsenal,Everton,3,1,H
2016-17,Burnley,West Ham,1,2,A
2016-17,Chelsea,Sunderland,5,1,H
2016-17,Hull,Tottenham,1,7,A
2016-17,Leicester,Bournemouth,1,1,D
2016-17,Liverpool,Middlesbrough,3,0,H
2016-17,Manchester United,Crystal Palace,2,0,H
2016-17,Southampton,Stoke,0,1,A
2016-17,Swansea,West Bromwich Albion,2,1,H
2016-17,Watford,Manchester City,0,5,A
2017-18,Arsenal,Leicester,4,3,H
2017-18,Brighton,Manchester City,0,2,A
2017-18,Chelsea,Burnley,2,3,A
2017-18,Crystal Palace,Huddersfield,0,3,A
2017-18,Everton,Stoke,1,0,H
2017-18,Southampton,Swansea,0,0,D
2017-18,Watford,Liverpool,3,3,D
2017-18,West Bromwich Albion,Bournemouth,1,0,H
2017-18,Manchester United,West Ham,4,0,H
2017-18,Newcastle United,Tottenham,0,2,A
2017-18,Bournemouth,Watford,0,2,A
2017-18,Burnley,West Bromwich Albion,0,1,A
2017-18,Leicester,Brighton,2,0,H
2017-18,Liverpool,Crystal Palace,1,0,H
2017-18,Southampton,West Ham,3,2,H
2017-18,Stoke,Arsenal,1,0,H
2017-18,Swansea,Manchester United,0,4,A
2017-18,Huddersfield,Newcastle United,1,0,H
2017-18,Tottenham,Chelsea,1,2,A
2017-18,Manchester City,Everton,1,1,D
2017-18,Bournemouth,Manchester City,1,2,A
2017-18,Crystal Palace,Swansea,0,2,A
2017-18,Huddersfield,Southampton,0,0,D
2017-18,Manchester United,Leicester,2,0,H
2017-18,Newcastle United,West Ham,3,0,H
2017-18,Watford,Brighton,0,0,D
2017-18,Chelsea,Everton,2,0,H
2017-18,Liverpool,Arsenal,4,0,H
2017-18,Tottenham,Burnley,1,1,D
2017-18,West Bromwich Albion,Stoke,1,1,D
2017-18,Arsenal,Bournemouth,3,0,H
2017-18,Brighton,West Bromwich Albion,3,1,H
2017-18,Everton,Tottenham,0,3,A
2017-18,Leicester,Chelsea,1,2,A
2017-18,Manchester City,Liverpool,5,0,H
2017-18,Southampton,Watford,0,2,A
2017-18,Stoke,Manchester United,2,2,D
2017-18,Burnley,Crystal Palace,1,0,H
2017-18,Swansea,Newcastle United,0,1,A
2017-18,West Ham,Huddersfield,2,0,H
2017-18,Bournemouth,Brighton,2,1,H
2017-18,Crystal Palace,Southampton,0,1,A
2017-18,Huddersfield,Leicester,1,1,D
2017-18,Liverpool,Burnley,1,1,D
2017-18,Newcastle United,Stoke,2,1,H
2017-18,Tottenham,Swansea,0,0,D
2017-18,Watford,Manchester City,0,6,A
2017-18,West Bromwich Albion,West Ham,0,0,D
2017-18,Chelsea,Arsenal,0,0,D
2017-18,Manchester United,Everton,4,0,H
2017-18,Burnley,Huddersfield,0,0,D
2017-18,Everton,Bournemouth,2,1,H
2017-18,Leicester,Liverpool,2,3,A
2017-18,Manchester City,Crystal Palace,5,0,H
2017-18,Southampton,Manchester United,0,1,A
2017-18,Stoke,Chelsea,0,4,A
2017-18,Swansea,Watford,1,2,A
2017-18,West Ham,Tottenham,2,3,A
2017-18,Brighton,Newcastle United,1,0,H
2017-18,Arsenal,West Bromwich Albion,2,0,H
2017-18,Bournemouth,Leicester,0,0,D
2017-18,Chelsea,Manchester City,0,1,A
2017-18,Huddersfield,Tottenham,0,4,A
2017-18,Manchester United,Crystal Palace,4,0,H
2017-18,Stoke,Southampton,2,1,H
2017-18,West Bromwich Albion,Watford,2,2,D
2017-18,West Ham,Swansea,1,0,H
2017-18,Arsenal,Brighton,2,0,H
2017-18,Everton,Burnley,0,1,A
2017-18,Newcastle United,Liverpool,1,1,D
2017-18,Burnley,West Ham,1,1,D
2017-18,Crystal Palace,Chelsea,2,1,H
2017-18,Liverpool,Manchester United,0,0,D
2017-18,Manchester City,Stoke,7,2,H
2017-18,Swansea,Huddersfield,2,0,H
2017-18,Tottenham,Bournemouth,1,0,H
2017-18,Watford,Arsenal,2,1,H
2017-18,Brighton,Everton,1,1,D
2017-18,Southampton,Newcastle United,2,2,D
2017-18,Leicester,West Bromwich Albion,1,1,D
2017-18,West Ham,Brighton,0,3,A
2017-18,Chelsea,Watford,4,2,H
2017-18,Huddersfield,Manchester United,2,1,H
2017-18,Manchester City,Burnley,3,0,H
2017-18,Newcastle United,Crystal Palace,1,0,H
2017-18,Southampton,West Bromwich Albion,1,0,H
2017-18,Stoke,Bournemouth,1,2,A
2017-18,Swansea,Leicester,1,2,A
2017-18,Everton,Arsenal,2,5,A
2017-18,Tottenham,Liverpool,4,1,H
2017-18,Arsenal,Swansea,2,1,H
2017-18,Bournemouth,Chelsea,0,1,A
2017-18,Crystal Palace,West Ham,2,2,D
2017-18,Liverpool,Huddersfield,3,0,H
2017-18,Manchester United,Tottenham,1,0,H
2017-18,Watford,Stoke,0,1,A
2017-18,West Bromwich Albion,Manchester City,2,3,A
2017-18,Brighton,Southampton,1,1,D
2017-18,Leicester,Everton,2,0,H
2017-18,Burnley,Newcastle United,1,0,H
2017-18,Huddersfield,West Bromwich Albion,1,0,H
2017-18,Newcastle United,Bournemouth,0,1,A
2017-18,Southampton,Burnley,0,1,A
2017-18,Stoke,Leicester,2,2,D
2017-18,Swansea,Brighton,0,1,A
2017-18,West Ham,Liverpool,1,4,A
2017-18,Chelsea,Manchester United,1,0,H
2017-18,Everton,Watford,3,2,H
2017-18,Manchester City,Arsenal,3,1,H
2017-18,Tottenham,Crystal Palace,1,0,H
2017-18,Arsenal,Tottenham,2,0,H
2017-18,Bournemouth,Huddersfield,4,0,H
2017-18,Burnley,Swansea,2,0,H
2017-18,Crystal Palace,Everton,2,2,D
2017-18,Leicester,Manchester City,0,2,A
2017-18,Liverpool,Southampton,3,0,H
2017-18,Manchester United,Newcastle United,4,1,H
2017-18,West Bromwich Albion,Chelsea,0,4,A
2017-18,Watford,West Ham,2,0,H
2017-18,Brighton,Stoke,2,2,D
2017-18,West Ham,Leicester,1,1,D
2017-18,Crystal Palace,Stoke,2,1,H
2017-18,Liverpool,Chelsea,1,1,D
2017-18,Manchester United,Brighton,1,0,H
2017-18,Newcastle United,Watford,0,3,A
2017-18,Swansea,Bournemouth,0,0,D
2017-18,Tottenham,West Bromwich Albion,1,1,D
2017-18,Burnley,Arsenal,0,1,A
2017-18,Huddersfield,Manchester City,1,2,A
2017-18,Southampton,Everton,4,1,H
2017-18,Brighton,Crystal Palace,0,0,D
2017-18,Leicester,Tottenham,2,1,H
2017-18,Watford,Manchester United,2,4,A
2017-18,West Bromwich Albion,Newcastle United,2,2,D
2017-18,Arsenal,Huddersfield,5,0,H
2017-18,Bournemouth,Burnley,1,2,A
2017-18,Chelsea,Swansea,1,0,H
2017-18,Everton,West Ham,4,0,H
2017-18,Manchester City,Southampton,2,1,H
2017-18,Stoke,Liverpool,0,3,A
2017-18,Arsenal,Manchester United,1,3,A
2017-18,Brighton,Liverpool,1,5,A
2017-18,Chelsea,Newcastle United,3,1,H
2017-18,Everton,Huddersfield,2,0,H
2017-18,Leicester,Burnley,1,0,H
2017-18,Stoke,Swansea,2,1,H
2017-18,Watford,Tottenham,1,1,D
2017-18,West Bromwich Albion,Crystal Palace,0,0,D
2017-18,Bournemouth,Southampton,1,1,D
2017-18,Manchester City,West Ham,2,1,H
2017-18,Burnley,Watford,1,0,H
2017-18,Crystal Palace,Bournemouth,2,2,D
2017-18,Huddersfield,Brighton,2,0,H
2017-18,Newcastle United,Leicester,2,3,A
2017-18,Swansea,West Bromwich Albion,1,0,H
2017-18,Tottenham,Stoke,5,1,H
2017-18,West Ham,Chelsea,1,0,H
2017-18,Liverpool,Everton,1,1,D
2017-18,Manchester United,Manchester City,1,2,A
2017-18,Southampton,Arsenal,1,1,D
2017-18,Burnley,Stoke,1,0,H
2017-18,Crystal Palace,Watford,2,1,H
2017-18,Huddersfield,Chelsea,1,3,A
2017-18,Liverpool,West Bromwich Albion,0,0,D
2017-18,Manchester United,Bournemouth,1,0,H
2017-18,Newcastle United,Everton,0,1,A
2017-18,Southampton,Leicester,1,4,A
2017-18,Swansea,Manchester City,0,4,A
2017-18,Tottenham,Brighton,2,0,H
2017-18,West Ham,Arsenal,0,0,D
2017-18,Arsenal,Newcastle United,1,0,H
2017-18,Brighton,Burnley,0,0,D
2017-18,Chelsea,Southampton,1,0,H
2017-18,Leicester,Crystal Palace,0,3,A
2017-18,Manchester City,Tottenham,4,1,H
2017-18,Stoke,West Ham,0,3,A
2017-18,Watford,Huddersfield,1,4,A
2017-18,Bournemouth,Liverpool,0,4,A
2017-18,West Bromwich Albion,Manchester United,1,2,A
2017-18,Everton,Swansea,3,1,H
2017-18,Arsenal,Liverpool,3,3,D
2017-18,Brighton,Watford,1,0,H
2017-18,Burnley,Tottenham,0,3,A
2017-18,Everton,Chelsea,0,0,D
2017-18,Leicester,Manchester United,2,2,D
2017-18,Manchester City,Bournemouth,4,0,H
2017-18,Southampton,Huddersfield,1,1,D
2017-18,Stoke,West Bromwich Albion,3,1,H
2017-18,Swansea,Crystal Palace,1,1,D
2017-18,West Ham,Newcastle United,2,3,A
2017-18,Bournemouth,West Ham,3,3,D
2017-18,Chelsea,Brighton,2,0,H
2017-18,Huddersfield,Stoke,1,1,D
2017-18,Liverpool,Swansea,5,0,H
2017-18,Manchester United,Burnley,2,2,D
2017-18,Tottenham,Southampton,5,2,H
2017-18,Watford,Leicester,2,1,H
2017-18,West Bromwich Albion,Everton,0,0,D
2017-18,Newcastle United,Manchester City,0,1,A
2017-18,Crystal Palace,Arsenal,2,3,A
2017-18,Bournemouth,Everton,2,1,H
2017-18,Chelsea,Stoke,5,0,H
2017-18,Huddersfield,Burnley,0,0,D
2017-18,Liverpool,Leicester,2,1,H
2017-18,Manchester United,Southampton,0,0,D
2017-18,Newcastle United,Brighton,0,0,D
2017-18,Watford,Swansea,1,2,A
2017-18,Crystal Palace,Manchester City,0,0,D
2017-18,West Bromwich Albion,Arsenal,1,1,D
2017-18,Brighton,Bournemouth,2,2,D
2017-18,Burnley,Liverpool,1,2,A
2017-18,Everton,Manchester United,0,2,A
2017-18,Leicester,Huddersfield,3,0,H
2017-18,Stoke,Newcastle United,0,1,A
2017-18,Manchester City,Watford,3,1,H
2017-18,Southampton,Crystal Palace,1,2,A
2017-18,Swansea,Tottenham,0,2,A
2017-18,West Ham,West Bromwich Albion,2,1,H
2017-18,Arsenal,Chelsea,2,2,D
2017-18,Tottenham,West Ham,1,1,D
2017-18,Chelsea,Leicester,0,0,D
2017-18,Crystal Palace,Burnley,1,0,H
2017-18,Huddersfield,West Ham,1,4,A
2017-18,Newcastle United,Swansea,1,1,D
2017-18,Tottenham,Everton,4,0,H
2017-18,Watford,Southampton,2,2,D
2017-18,West Bromwich Albion,Brighton,2,0,H
2017-18,Bournemouth,Arsenal,2,1,H
2017-18,Liverpool,Manchester City,4,3,H
2017-18,Manchester United,Stoke,3,0,H
2017-18,Arsenal,Crystal Palace,4,1,H
2017-18,Brighton,Chelsea,0,4,A
2017-18,Burnley,Manchester United,0,1,A
2017-18,Everton,West Bromwich Albion,1,1,D
2017-18,Leicester,Watford,2,0,H
2017-18,Manchester City,Newcastle United,3,1,H
2017-18,Stoke,Huddersfield,2,0,H
2017-18,West Ham,Bournemouth,1,1,D
2017-18,Southampton,Tottenham,1,1,D
2017-18,Swansea,Liverpool,1,0,H
2017-18,Huddersfield,Liverpool,0,3,A
2017-18,Swansea,Arsenal,3,1,H
2017-18,West Ham,Crystal Palace,1,1,D
2017-18,Chelsea,Bournemouth,0,3,A
2017-18,Everton,Leicester,2,1,H
2017-18,Manchester City,West Bromwich Albion,3,0,H
2017-18,Newcastle United,Burnley,1,1,D
2017-18,Southampton,Brighton,1,1,D
2017-18,Stoke,Watford,0,0,D
2017-18,Tottenham,Manchester United,2,0,H
2017-18,Arsenal,Everton,5,1,H
2017-18,Bournemouth,Stoke,2,1,H
2017-18,Brighton,West Ham,3,1,H
2017-18,Burnley,Manchester City,1,1,D
2017-18,Leicester,Swansea,1,1,D
2017-18,Manchester United,Huddersfield,2,0,H
2017-18,West Bromwich Albion,Southampton,2,3,A
2017-18,Crystal Palace,Newcastle United,1,1,D
